SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,11 Stockton Ln,Stony Brook,NY,11790,489000,3,2,Stony Brook,,20038,1964,1,,,Active,,,http://www.redfin.com/NY/Stony-Brook/11-Stockton-Ln-11790/home/21187873,OneKey,3249268,N,Y,40.8923661,-73.1105491
MLS Listing,,Single Family Residential,4 Intervale Rd,Setauket,NY,11733,649000,4,2,Setauket,,20473,1959,1,,,Active,,,http://www.redfin.com/NY/Setauket-East-Setauket/4-Intervale-Rd-11733/home/21211609,OneKey,3249245,N,Y,40.9433921,-73.1330723
MLS Listing,,Single Family Residential,23 Hawkins Rd,Stony Brook,NY,11790,549000,3,1.5,Stony Brook,1100,20038,1952,1,499,,Active,,,http://www.redfin.com/NY/Stony-Brook/23-Hawkins-Rd-11790/home/21198414,OneKey,3249182,N,Y,40.9168645,-73.1400084
MLS Listing,,Single Family Residential,133 Quaker Path,Setauket,NY,11733,699999,4,2.5,Setauket,3600,26572,1958,1,194,,Active,September-5-2020 11:00 AM,September-5-2020 1:00 PM,http://www.redfin.com/NY/Setauket-East-Setauket/133-Quaker-Path-11733/home/21205978,OneKey,3248876,N,Y,40.9392412,-73.1298203
MLS Listing,,Single Family Residential,95 University Heights Dr,Stony Brook,NY,11790,449996,4,2.5,University Heights,,17860,1972,6,,,Active,,,http://www.redfin.com/NY/Stony-Brook/95-University-Heights-Dr-11790/home/21191557,OneKey,3247433,N,Y,40.8983752,-73.1308806
MLS Listing,,Condo/Co-op,601 Alden Ct E,St. James,NY,11780,499000,3,2.5,Fairfield At St. James,1650,436,1978,7,302,324,Active,,,http://www.redfin.com/NY/St-James/601-Alden-Ct-E-11780/home/21341456,OneKey,3247156,N,Y,40.87402,-73.133972
MLS Listing,,Single Family Residential,8 Gaslight Way,Stony Brook,NY,11790,579000,4,2.5,Stony Brook,,22651,1966,7,,,Active,,,http://www.redfin.com/NY/Stony-Brook/8-Gaslight-Way-11790/home/21204684,OneKey,3247131,N,Y,40.9223608,-73.1390404
MLS Listing,,Single Family Residential,14 College Dr,Stony Brook,NY,11790,479000,4,2,Stony Brook,,19602,1966,8,,,Active,September-5-2020 11:00 AM,September-5-2020 12:30 PM,http://www.redfin.com/NY/Stony-Brook/14-College-Dr-11790/home/21270580,OneKey,3246896,N,Y,40.8935322,-73.1298203
MLS Listing,,Single Family Residential,1155 N Country Rd,Stony Brook,NY,11790,475000,4,2,Stony Brook,,21344,1917,8,,,Active,,,http://www.redfin.com/NY/Stony-Brook/1155-N-Country-Rd-11790/home/21195677,OneKey,3246672,N,Y,40.9137349,-73.1382335
MLS Listing,,Single Family Residential,272 Hallock Rd,Stony Brook,NY,11790,489900,4,3,Stony Brook,2262,17424,1968,9,217,,Active,,,http://www.redfin.com/NY/Stony-Brook/272-Hallock-Rd-11790/home/21183891,OneKey,3246401,N,Y,40.884155,-73.1256711
